C�digo,Fecha,Tipo confirmado,Direccion,Tipo clase de accidente,Tipo confirmado_1,Medio de reporte,Numero vehiculos,Tipo de vehiculos implicados,Qgis_ID,Qgis_Ciudad,Qgis_Pais,Qgis_result_num,Qgis_osm_id,Qgis_display_na,Qgis_category,Qgis_type,lat,lon
AI012643,10/10/2024,Con lesionado,CALLE 18  & CARRERA 168,VOLCAMIENTO,CON HERIDOS,AGENTE CAD 123,1,MOTOCICLETA,8941,Cali,Colombia,0,454750474,"Carrera 168, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 764001, Colombia",highway,unclassified,3.305870339,-76.53524702
AI003510,21/02/2024,Negativo,CALLE 18 CARRERA 168,CHOQUE,NEGATIVO,CAT 127,1,CAMION,9013,Cali,Colombia,0,454750474,"Carrera 168, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 764001, Colombia",highway,unclassified,3.305870339,-76.53524702
AI002888,07/02/2024,Con lesionado,CALLE 36 CARRERA 168,CHOQUE,POSITIVO,CAT 127,2,MOTOCICLETA,5295,Cali,Colombia,0,454750474,"Carrera 168, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 764001, Colombia",highway,unclassified,3.305870339,-76.53524702
AI005374,04/04/2024,Con lesionado,CALLE 36 CARRERA 168,CHOQUE,CON HERIDOS,CAT 127,3,AUTOMOVIL,5295,Cali,Colombia,0,454750474,"Carrera 168, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 764001, Colombia",highway,unclassified,3.305870339,-76.53524702
AI006327,27/04/2024,Con lesionado,CARRERA 168 CALLE 36,CHOQUE,CON HERIDOS,CAT 127,2,AUTOMOVIL,6349,Cali,Colombia,0,454750474,"Carrera 168, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 764001, Colombia",highway,unclassified,3.305870339,-76.53524702
AI007893,05/06/2024,Con lesionado,CARRERA 5 CALLE 36 A,CHOQUE,CON HERIDOS,CAT 127,2,MOTOCICLETA,6997,Cali,Colombia,0,268505108,"Calle 36, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,trunk,3.308337936,-76.52229974
AI000000935,19/12/2023,Solo da�os,CALLE 18   CARRERA 159,VOLCAMIENTO,POSITIVO,AGENTE RADIO,1,CAMIONETA,4592,Cali,Colombia,0,236838623,"Carrera 159, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 764001, Colombia",highway,residential,3.308974867,-76.53643842
AI011024,01/09/2024,Con lesionado,CALLE 36  & CARRERA 154,CHOQUE,CON HERIDOS,AGENTE CAD 123,1,AUTOMOVIL,8199,Cali,Colombia,0,236838622,"Carrera 154, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.312986649,-76.53732004
AI005777,13/04/2024,Con lesionado,CARRERA 152 CALLE 36,CHOQUE,CON HERIDOS,AGENTE CAD 123,1,AUTOMOVIL,6130,Cali,Colombia,0,205410080,"Carrera 152, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.313803684,-76.5401988
AI006475,01/05/2024,Solo da�os,CALLE 36 CARRERA 146,CHOQUE,SOLO DA�OS,CAT 127,1,AUTOMOVIL,6359,Cali,Colombia,0,236838297,"Carrera 146, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,unclassified,3.31550342,-76.53001591
AI008317,17/06/2024,Solo Da�os,CALLE 36 CARRERA 146,VOLCAMIENTO,SOLO DA�OS,CAT 127,1,AUTOMOVIL,6359,Cali,Colombia,0,236838297,"Carrera 146, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,unclassified,3.31550342,-76.53001591
AI0002163,23/01/2024,Con lesionado,CALLE 36 CARRERA 143,CHOQUE,POSITIVO,AGENTE RADIO,3,AUTOMOVIL,5085,Cali,Colombia,0,455141122,"Carrera 143, Urbanizacion Flamenco, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.3162159,-76.5060643
AI007770,02/06/2024,Con lesionado,CALLE 36 CARRERA 143,CHOQUE,CON HERIDOS,AGENTE RADIO,1,CAMIONETA,5085,Cali,Colombia,0,455141122,"Carrera 143, Urbanizacion Flamenco, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.3162159,-76.5060643
AI000001140,24/12/2023,Con lesionado,CALLE 18   CARRERA 142,CHOQUE,POSITIVO,AGENTE RADIO,1,AUTOMOVIL,4668,Cali,Colombia,0,236838296,"Carrera 142, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.319143891,-76.53078002
AI0002183,23/01/2024,Con lesionado,CALLE 18 CARRERA 142,CHOQUE,POSITIVO,CAT 127,2,AUTOMOVIL,5090,Cali,Colombia,0,236838296,"Carrera 142, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.319143891,-76.53078002
AI002895,07/02/2024,Con lesionado,CARRERA 142 CALLE 36,CHOQUE,POSITIVO,CAT 127,2,BICICLETA,5300,Cali,Colombia,0,236838296,"Carrera 142, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.319143891,-76.53078002
AI011211,05/09/2024,Con lesionado,CALLE 36  & CARRERA 141,CHOQUE,CON HERIDOS,CAT 127,1,AUTOMOVIL,8278,Cali,Colombia,0,785032303,"Carrera 141, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.32052525,-76.52814315
AI008772,30/06/2024,Con lesionado,CALLE 18 & CARRERA 140,CHOQUE,CON HERIDOS,CAT 127,2,AUTOMOVIL,7257,Cali,Colombia,0,631004529,"Carrera 140, Condominio Campestre Alto Pance, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.321538421,-76.54846615
AI003722,26/02/2024,Con lesionado,CALLE 25 CARRERA 130,CHOQUE,POSITIVO,CAT 127,4,CAMION,5463,Cali,Colombia,0,784985527,"Carrera 130, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,unclassified,3.3277829,-76.52800423
AI009755,27/07/2024,Con lesionado,CALLE 36 & CARRERA 129,CHOQUE,CON HERIDOS,CAT 127,2,MOTOCICLETA,7635,Cali,Colombia,0,738039430,"Carrera 129, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.329402854,-76.53850281
AI005486,07/04/2024,Con lesionado,CALLE 18 CARRERA 129,CHOQUE,CON HERIDOS,CAT 127,1,AUTOMOVIL,6005,Cali,Colombia,0,738039430,"Carrera 129, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.3294283,-76.5389103
AI007734,01/06/2024,Con lesionado,CALLE 25 CARRERA 128,CHOQUE,CON HERIDOS,AGENTE RADIO,2,AUTOMOVIL,6939,Cali,Colombia,0,743354015,"Carrera 128, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.330923939,-76.54496637
AI003924,01/03/2024,Negativo,CALLE 36 CARRERA 128,CHOQUE,POSITIVO,AGENTE RADIO,2,MOTOCICLETA,5527,Cali,Colombia,0,743354015,"Carrera 128, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.330923939,-76.54496637
AI010547,18/08/2024,Con lesionado,CALLE 25  & CARRERA 128,CHOQUE,CON HERIDOS,AGENTE CAD 123,2,BUS,7982,Cali,Colombia,0,743354015,"Carrera 128, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.3309385,-76.5445215
AI005672,11/04/2024,Con lesionado,CALLE 25 CARRERA 127,CHOQUE,CON HERIDOS,CAT 127,2,AUTOMOVIL,6092,Cali,Colombia,0,444785017,"Carrera 127, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.3329379,-76.5369655
AI004336,10/03/2024,Con lesionado,CALLE 25 CARRERA 127,CHOQUE,NEGATIVO,AGENTE RADIO,1,MOTOCICLETA,6092,Cali,Colombia,0,444785017,"Carrera 127, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.3329379,-76.5369655
AI0001854,15/01/2024,Con lesionado,CALLE 18 CARRERA 127,CHOQUE,POSITIVO,AGENTE RADIO,2,CAMIONETA,4980,Cali,Colombia,0,444785017,"Carrera 127, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Pance, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.332940482,-76.53692108
428278,15/08/2022,Solo da�os,KILOMETRO 5 VIA CALI - PUERTO TEJADA,Choque,.,TELEF?NICO 127,3,AUTOMOVIL,5490,Cali,Colombia,0,268506373,"Vía Cali - Puerto Tejada, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,secondary,3.335426879,-76.51425012
AI003815,28/02/2024,Con lesionado,KILOMETRO 5 VIA CALI - PUERTO TEJADA,CHOQUE,POSITIVO,AGENTE CAD 123,2,AUTOMOVIL,5490,Cali,Colombia,0,268506373,"Vía Cali - Puerto Tejada, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,secondary,3.335426879,-76.51425012
AI007550,28/05/2024,Con lesionado,kl 5 via cali puerto tejada,CHOQUE,CON HERIDOS,CAT 127,2,AUTOMOVIL,6855,Cali,Colombia,0,268506373,"Vía Cali - Puerto Tejada, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,secondary,3.335426879,-76.51425012
394628,01/09/2021,Negativo,KM 3 VIA CALI-PUERTO TEJADA,Choque,Negativo,RADIO,2,AUTOMOVIL,1946,Cali,Colombia,0,268506373,"Vía Cali - Puerto Tejada, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,secondary,3.335426879,-76.51425012
394634,01/09/2021,Con lesionado,KM 3 VIA CALI-PUERTO TEJADA,Choque,.,RADIO,2,AUTOMOVIL,1946,Cali,Colombia,0,268506373,"Vía Cali - Puerto Tejada, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,secondary,3.335426879,-76.51425012
430880,12/09/2022,Negativo,KM4 VIA CALI PUERTO TEJADA,Choque,Negativo,TELEF?NICO 127,2,CAMION,3422,Cali,Colombia,0,268506373,"Vía Cali - Puerto Tejada, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,secondary,3.335426879,-76.51425012
387927,24/06/2021,Negativo,VIA CALI PUERTO TEJADA,NO APLICA,No Quiere Intervenci?n,TELEF?NICO 127,2,AUTOMOVIL,848,Cali,Colombia,0,268506373,"Vía Cali - Puerto Tejada, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,secondary,3.335426879,-76.51425012
419272,09/05/2022,Con lesionado,VIA CALI PUERTO TEJADA,.,.,CAD 123,2,AUTOMOVIL,848,Cali,Colombia,0,268506373,"Vía Cali - Puerto Tejada, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,secondary,3.335426879,-76.51425012
431253,16/09/2022,Solo da�os,VIA CALI PUERTO TEJADA,Choque,.,TELEF?NICO 127,2,AUTOMOVIL,848,Cali,Colombia,0,268506373,"Vía Cali - Puerto Tejada, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,secondary,3.335426879,-76.51425012
